Modele,Scenario,F1,Precision,Recall,PR-AUC,Evasion%
Baseline,Propres,0.9109858747877606,0.9878656703262264,0.845208268742511,0.988108257442952,15.479173125748904
Baseline,FGSM,0.8532790626902008,0.986379077207216,0.7518287931222296,0.981868999760336,24.81712068777704
Baseline,PGD,0.8305806364015479,0.9857391144208746,0.7176242867078372,0.9781989240185794,28.23757132921628
Adv. Training,Propres,0.8971480804387568,0.9868186891080748,0.8224164369328227,0.9871691346798502,17.758356306717722
Adv. Training,FGSM,0.7721585329242292,0.98301505454357,0.6357831759412105,0.9708766555702752,36.42168240587896
Adv. Training,PGD,0.7700055560369655,0.9829390177246818,0.6329006795652793,0.969772407892666,36.70993204347207
Feat. Squeezing,Propres,0.8818272185481565,0.9620389811036724,0.81396167285342,0.9770109186508698,18.603832714658
Feat. Squeezing,FGSM,0.8570235471523026,0.960190884138734,0.7738748627881449,0.973429817418749,22.612513721185508
Feat. Squeezing,PGD,0.8449445577513656,0.9591565187771438,0.7550380841454319,0.9721533420844738,24.4961915854568
TRADES+PGD-7,Propres,0.9191561420851748,0.97581935581032,0.868712345296252,0.979975845856818,13.128765470374807
TRADES+PGD-7,PGD,0.8941300265786155,0.974598811513096,0.8259357639034364,0.9380268784514412,17.406423609656365
